! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0013316 -0.0934326
0.9803442 -0.0891757
0.9593726 -0.0848264
0.9383309 -0.0808527
0.9171594 -0.0776354
0.8958504 -0.0755442
0.8744509 -0.0748113
0.8530443 -0.0752942
0.8316789 -0.0767124
0.8103761 -0.0789235
0.7891608 -0.0818430
0.7680423 -0.0853878
0.7470202 -0.0894773
0.7260923 -0.0940209
0.7052520 -0.0989359
0.6844810 -0.1041387
0.6637609 -0.1095515
0.6430733 -0.1150974
0.6224007 -0.1207018
0.6017273 -0.1262968
0.5810337 -0.1318188
0.5603032 -0.1372054
0.5395256 -0.1424016
0.5186917 -0.1473550
0.4977926 -0.1520149
0.4768216 -0.1563405
0.4557732 -0.1602890
0.4346519 -0.1638271
0.4134613 -0.1669177
0.3922058 -0.1695313
0.3708932 -0.1716329
0.3495349 -0.1731774
0.3281390 -0.1740860
0.3067223 -0.1741905
0.2853255 -0.1733932
0.2639935 -0.1715492
0.2427782 -0.1686426
0.2217358 -0.1646735
0.2009182 -0.1596576
0.1803734 -0.1536196
0.1601479 -0.1465862
0.1402902 -0.1385732
0.1208536 -0.1295803
0.1019118 -0.1195924
0.0835584 -0.1085691
0.0659165 -0.0964342
0.0491764 -0.0830863
0.0336220 -0.0683764
0.0197042 -0.0521101
0.0081819 -0.0340926
0.0004120 -0.0141875
-0.0007343 0.0070440
0.0057189 0.0273917
0.0165855 0.0458030
0.0301670 0.0623499
0.0455884 0.0771966
0.0623332 0.0905363
0.0800672 0.1025352
0.0985602 0.1133185
0.1176615 0.1229981
0.1372497 0.1316596
0.1572271 0.1393659
0.1775312 0.1461701
0.1981055 0.1521146
0.2189013 0.1572226
0.2398815 0.1615125
0.2610109 0.1649969
0.2822548 0.1676861
0.3035828 0.1695997
0.3249656 0.1707977
0.3463728 0.1713872
0.3677874 0.1714822
0.3892008 0.1711537
0.4106042 0.1704295
0.4319901 0.1693097
0.4533532 0.1678118
0.4746881 0.1659560
0.4959897 0.1637678
0.5172581 0.1612786
0.5384950 0.1585223
0.5597019 0.1555323
0.5808810 0.1523446
0.6020333 0.1489880
0.6231611 0.1454900
0.6442683 0.1418703
0.6653570 0.1381432
0.6864295 0.1343244
0.7074872 0.1304231
0.7285317 0.1264521
0.7495645 0.1224203
0.7705871 0.1183366
0.7916016 0.1142108
0.8126093 0.1100506
0.8336124 0.1058666
0.8546123 0.1016670
0.8756103 0.0974577
0.8966078 0.0932464
0.9176053 0.0890347
0.9386000 0.0848093
0.9595816 0.0805150
0.9805134 0.0759957
1.0013317 0.0709754
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	0.000000  
-179.000000	0.051868  	0.001000  	0.040000  
-178.000000	0.103735  	0.001000  	0.080000  
-177.000000	0.155603  	0.001000  	0.120000  
-176.000000	0.207470  	0.001000  	0.160000  
-175.000000	0.259338  	0.001000  	0.200000  
-174.000000	0.311206  	0.001000  	0.240000  
-173.000000	0.363073  	0.001000  	0.280000  
-172.000000	0.414941  	0.001000  	0.320000  
-171.000000	0.466808  	0.001000  	0.357773  
-170.000000	0.518676  	0.001000  	0.394654  
-169.000000	0.570543  	0.001000  	0.421913  
-168.000000	0.622411  	0.001000  	0.443826  
-167.000000	0.674279  	0.007351  	0.465738  
-166.000000	0.726146  	0.018465  	0.487651  
-165.000000	0.778014  	0.030480  	0.509564  
-164.000000	0.829881  	0.043395  	0.531477  
-163.000000	0.881749  	0.056962  	0.553390  
-162.000000	0.933617  	0.071397  	0.575303  
-161.000000	0.985484  	0.086347  	0.595386  
-160.000000	1.037352  	0.102226  	0.612177  
-159.000000	1.089219  	0.118494  	0.626187  
-158.000000	1.141087  	0.135736  	0.633246  
-157.000000	1.192954  	0.153251  	0.640305  
-156.000000	1.244822  	0.171767  	0.647364  
-155.000000	1.296690  	0.190452  	0.654423  
-154.000000	1.348557  	0.210148  	0.661482  
-153.000000	1.400425  	0.229921  	0.668541  
-152.000000	1.452292  	0.250695  	0.675599  
-151.000000	1.504160  	0.271470  	0.682658  
-150.000000	1.463151  	0.293689  	0.672615  
-149.000000	1.422141  	0.315909  	0.662572  
-148.000000	1.381132  	0.338128  	0.652529  
-147.000000	1.340123  	0.360348  	0.642486  
-146.000000	1.304019  	0.383557  	0.629168  
-145.000000	1.270640  	0.407316  	0.614031  
-144.000000	1.237261  	0.431074  	0.598894  
-143.000000	1.203883  	0.454833  	0.583756  
-142.000000	1.171829  	0.478878  	0.569931  
-141.000000	1.143088  	0.503639  	0.559384  
-140.000000	1.114347  	0.528400  	0.548836  
-139.000000	1.085606  	0.553161  	0.538289  
-138.000000	1.056865  	0.577922  	0.527742  
-137.000000	1.030726  	0.603095  	0.521899  
-136.000000	1.004787  	0.628299  	0.516417  
-135.000000	0.978848  	0.653504  	0.510935  
-134.000000	0.952909  	0.678708  	0.505453  
-133.000000	0.927914  	0.703841  	0.500390  
-132.000000	0.903627  	0.728921  	0.495641  
-131.000000	0.879341  	0.754001  	0.490891  
-130.000000	0.855054  	0.779080  	0.486142  
-129.000000	0.830969  	0.804013  	0.482107  
-128.000000	0.807623  	0.828403  	0.480689  
-127.000000	0.784277  	0.852794  	0.479271  
-126.000000	0.760932  	0.877185  	0.477853  
-125.000000	0.737586  	0.901576  	0.476435  
-124.000000	0.714692  	0.924908  	0.475017  
-123.000000	0.691874  	0.948062  	0.473599  
-122.000000	0.669056  	0.971217  	0.472180  
-121.000000	0.646238  	0.994372  	0.470762  
-120.000000	0.623583  	1.016650  	0.469974  
-119.000000	0.601092  	1.038051  	0.469816  
-118.000000	0.578600  	1.059452  	0.469657  
-117.000000	0.556109  	1.080853  	0.469499  
-116.000000	0.533659  	1.101935  	0.469363  
-115.000000	0.511454  	1.121105  	0.469368  
-114.000000	0.489248  	1.140276  	0.469373  
-113.000000	0.467043  	1.159446  	0.469378  
-112.000000	0.444837  	1.178617  	0.469382  
-111.000000	0.422920  	1.195701  	0.469345  
-110.000000	0.401081  	1.212217  	0.469295  
-109.000000	0.379242  	1.228732  	0.469246  
-108.000000	0.357403  	1.245248  	0.469197  
-107.000000	0.335796  	1.260470  	0.469131  
-106.000000	0.314499  	1.273968  	0.469044  
-105.000000	0.293202  	1.287466  	0.468958  
-104.000000	0.271905  	1.300964  	0.468871  
-103.000000	0.250664  	1.314225  	0.468761  
-102.000000	0.230159  	1.324413  	0.468354  
-101.000000	0.209654  	1.334601  	0.467947  
-100.000000	0.189149  	1.344789  	0.467540  
-99.000000	0.168644  	1.354977  	0.467133  
-98.000000	0.148924  	1.362647  	0.466179  
-97.000000	0.129518  	1.369309  	0.465007  
-96.000000	0.110113  	1.375972  	0.463835  
-95.000000	0.090707  	1.382634  	0.462664  
-94.000000	0.071820  	1.387989  	0.461492  
-93.000000	0.053865  	1.390992  	0.460320  
-92.000000	0.035910  	1.393995  	0.459148  
-91.000000	0.017955  	1.396997  	0.457976  
-90.000000	0.000000  	1.400000  	0.456804  
-89.000000	-0.017955 	1.396997  	0.453492  
-88.000000	-0.035910 	1.393995  	0.450181  
-87.000000	-0.053865 	1.390992  	0.446869  
-86.000000	-0.071820 	1.387989  	0.443557  
-85.000000	-0.090707 	1.382634  	0.440246  
-84.000000	-0.110113 	1.375972  	0.436934  
-83.000000	-0.129518 	1.369309  	0.433622  
-82.000000	-0.148924 	1.362647  	0.430311  
-81.000000	-0.168644 	1.354977  	0.426834  
-80.000000	-0.189149 	1.344789  	0.422943  
-79.000000	-0.209654 	1.334601  	0.419053  
-78.000000	-0.230159 	1.324413  	0.415162  
-77.000000	-0.250664 	1.314225  	0.411272  
-76.000000	-0.271905 	1.300964  	0.407156  
-75.000000	-0.293202 	1.287466  	0.403024  
-74.000000	-0.314499 	1.273968  	0.398891  
-73.000000	-0.335796 	1.260470  	0.394758  
-72.000000	-0.357403 	1.245248  	0.390611  
-71.000000	-0.379242 	1.228732  	0.386451  
-70.000000	-0.401081 	1.212217  	0.382292  
-69.000000	-0.422920 	1.195701  	0.378132  
-68.000000	-0.444837 	1.178617  	0.373965  
-67.000000	-0.467043 	1.159446  	0.369767  
-66.000000	-0.489248 	1.140276  	0.365569  
-65.000000	-0.511454 	1.121105  	0.361371  
-64.000000	-0.533659 	1.101935  	0.357173  
-63.000000	-0.556109 	1.080853  	0.353024  
-62.000000	-0.578600 	1.059452  	0.348882  
-61.000000	-0.601092 	1.038051  	0.344740  
-60.000000	-0.623583 	1.016650  	0.340598  
-59.000000	-0.646238 	0.994372  	0.336673  
-58.000000	-0.669056 	0.971217  	0.332965  
-57.000000	-0.691874 	0.948062  	0.329256  
-56.000000	-0.714692 	0.924908  	0.325548  
-55.000000	-0.737586 	0.901576  	0.321839  
-54.000000	-0.760932 	0.877185  	0.318131  
-53.000000	-0.784277 	0.852794  	0.314423  
-52.000000	-0.807623 	0.828403  	0.310714  
-51.000000	-0.830969 	0.804013  	0.307006  
-50.000000	-0.855054 	0.779080  	0.303664  
-49.000000	-0.879341 	0.754001  	0.300422  
-48.000000	-0.903627 	0.728921  	0.297181  
-47.000000	-0.927914 	0.703841  	0.293939  
-46.000000	-0.952909 	0.678708  	0.290741  
-45.000000	-0.978848 	0.653504  	0.287603  
-44.000000	-1.004787 	0.628299  	0.284464  
-43.000000	-1.030726 	0.603095  	0.281325  
-42.000000	-1.056865 	0.577922  	0.278150  
-41.000000	-1.085606 	0.553161  	0.274505  
-40.000000	-1.114347 	0.528400  	0.270860  
-39.000000	-1.143088 	0.503639  	0.267215  
-38.000000	-1.171829 	0.478878  	0.263571  
-37.000000	-1.203883 	0.454833  	0.259598  
-36.000000	-1.237261 	0.431074  	0.255495  
-35.000000	-1.270640 	0.407316  	0.251392  
-34.000000	-1.304019 	0.383557  	0.247289  
-33.000000	-1.340123 	0.360348  	0.242440  
-32.000000	-1.381132 	0.338128  	0.236249  
-31.000000	-1.422141 	0.315909  	0.230058  
-30.000000	-1.463151 	0.293689  	0.223867  
-29.000000	-1.504160 	0.271470  	0.217676  
-28.000000	-1.456857 	0.261230  	0.204476  
-27.000000	-1.409554 	0.250991  	0.191277  
-26.000000	-1.362251 	0.240751  	0.178077  
-25.000000	-1.314949 	0.230512  	0.164877  
-24.000000	-1.267646 	0.220272  	0.151677  
-23.000000	-1.220343 	0.210033  	0.138478  
-22.000000	-1.173040 	0.199793  	0.125278  
-21.000000	-1.125737 	0.189554  	0.112078  
-20.000000	-1.078434 	0.179314  	0.098878  
-19.000000	-1.031131 	0.169075  	0.082526  
-18.000000	-0.983829 	0.158835  	0.066173  
-17.000000	-0.936526 	0.148596  	0.049821  
-16.000000	-0.889223 	0.138356  	0.033468  
-15.000000	-0.841920 	0.128117  	0.017116  
-14.000000	-0.794617 	0.117877  	0.000763  
-13.000000	-0.747314 	0.107638  	-0.015589 
-12.000000	-0.700011 	0.097398  	-0.031942 
-11.000000	-0.652709 	0.087159  	-0.048294 
-10.000000	-0.605406 	0.076919  	-0.049096 
-9.000000 	-0.558103 	0.066680  	-0.049898 
-8.000000 	-0.510800 	0.056440  	-0.050700 
-7.000000 	-0.403000 	0.062710  	-0.041600 
-6.000000 	-0.208700 	0.046170  	-0.090400 
-5.000000 	-0.074700 	0.045770  	-0.098700 
-4.000000 	0.082000  	0.043740  	-0.115700 
-3.000000 	0.219000  	0.043620  	-0.124400 
-2.000000 	0.364600  	0.043020  	-0.136200 
-1.000000 	0.503900  	0.043140  	-0.145500 
0.000000  	0.639900  	0.043250  	-0.153700 
1.000000  	0.781600  	0.043510  	-0.163600 
2.000000  	0.910600  	0.044200  	-0.169400 
3.000000  	1.043900  	0.044870  	-0.176700 
4.000000  	1.177000  	0.045770  	-0.184000 
5.000000  	1.306800  	0.046870  	-0.190300 
6.000000  	1.429400  	0.047940  	-0.194400 
7.000000  	1.554500  	0.049210  	-0.199800 
