! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0012906 -0.0732167
0.9806021 -0.0688651
0.9599314 -0.0644143
0.9391903 -0.0603260
0.9183152 -0.0569818
0.8972953 -0.0547522
0.8761744 -0.0538919
0.8550398 -0.0542894
0.8339450 -0.0556498
0.8129128 -0.0578208
0.7919703 -0.0607171
0.7711284 -0.0642568
0.7503869 -0.0683562
0.7297454 -0.0729295
0.7091974 -0.0778895
0.6887254 -0.0831571
0.6683095 -0.0886498
0.6479321 -0.0942950
0.6275749 -0.1000158
0.6072219 -0.1057447
0.5868530 -0.1114184
0.5664506 -0.1169742
0.5460026 -0.1223549
0.5254990 -0.1275083
0.5049300 -0.1323838
0.4842872 -0.1369373
0.4635629 -0.1411262
0.4427583 -0.1449143
0.4218802 -0.1482647
0.4009359 -0.1511455
0.3799322 -0.1535237
0.3588756 -0.1553654
0.3377713 -0.1566115
0.3166351 -0.1571638
0.2954974 -0.1568965
0.2743923 -0.1557040
0.2533642 -0.1535308
0.2324621 -0.1503654
0.2117335 -0.1462132
0.1912230 -0.1410923
0.1709717 -0.1350259
0.1510227 -0.1280286
0.1314202 -0.1201075
0.1122243 -0.1112509
0.0935103 -0.1014238
0.0753689 -0.0905533
0.0579624 -0.0785487
0.0415311 -0.0652761
0.0264135 -0.0505069
0.0132547 -0.0339887
0.0031938 -0.0154365
-0.0012913 0.0051010
0.0030158 0.0256577
0.0131494 0.0441492
0.0264748 0.0605545
0.0418032 0.0751008
0.0585059 0.0880511
0.0761992 0.0996171
0.0946290 0.1099593
0.1136396 0.1192075
0.1331057 0.1274640
0.1529301 0.1348025
0.1730509 0.1412894
0.1934154 0.1469717
0.2139761 0.1518801
0.2346980 0.1560412
0.2555557 0.1594730
0.2765235 0.1621866
0.2975740 0.1641947
0.3186774 0.1655340
0.3398062 0.1662759
0.3609442 0.1665026
0.3820830 0.1663238
0.4032159 0.1657142
0.4243357 0.1647070
0.4454341 0.1633105
0.4665030 0.1615441
0.4875367 0.1594273
0.5085361 0.1569953
0.5295022 0.1542782
0.5504366 0.1513127
0.5713409 0.1481338
0.5922156 0.1447717
0.6130638 0.1412591
0.6338887 0.1376127
0.6546937 0.1338525
0.6754809 0.1299939
0.6962518 0.1260467
0.7170082 0.1220239
0.7377512 0.1179346
0.7584827 0.1137879
0.7792047 0.1095938
0.7999188 0.1053608
0.8206271 0.1010986
0.8413306 0.0968135
0.8620311 0.0925143
0.8827305 0.0882094
0.9034297 0.0839036
0.9241281 0.0795947
0.9448217 0.0752620
0.9654818 0.0707743
0.9856211 0.0644599
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-7.379100 
-179.000000	0.050308  	0.001000  	-7.379100 
-178.000000	0.100617  	0.001000  	-7.379100 
-177.000000	0.150925  	0.001000  	-7.379100 
-176.000000	0.201233  	0.001000  	-7.379100 
-175.000000	0.251541  	0.001000  	-7.379100 
-174.000000	0.301850  	0.001000  	-7.379100 
-173.000000	0.352158  	0.001000  	-7.379100 
-172.000000	0.402466  	0.001000  	-7.379100 
-171.000000	0.452774  	0.001000  	-7.379100 
-170.000000	0.503083  	0.001000  	-7.379100 
-169.000000	0.553391  	0.002461  	-7.379100 
-168.000000	0.603699  	0.004734  	-7.379100 
-167.000000	0.654008  	0.012171  	-7.379100 
-166.000000	0.704316  	0.023481  	-7.379100 
-165.000000	0.754624  	0.035581  	-7.379100 
-164.000000	0.804932  	0.048472  	-7.379100 
-163.000000	0.855241  	0.062013  	-7.379100 
-162.000000	0.905549  	0.076420  	-7.379100 
-161.000000	0.955857  	0.091341  	-7.379100 
-160.000000	1.006166  	0.107189  	-7.379100 
-159.000000	1.056474  	0.123425  	-7.379100 
-158.000000	1.106782  	0.140633  	-7.379100 
-157.000000	1.157090  	0.158113  	-7.379100 
-156.000000	1.207399  	0.176592  	-7.379100 
-155.000000	1.257707  	0.195239  	-7.379100 
-154.000000	1.308015  	0.214895  	-7.379100 
-153.000000	1.358323  	0.234627  	-7.379100 
-152.000000	1.408632  	0.255359  	-7.379100 
-151.000000	1.458940  	0.276090  	-7.379100 
-150.000000	1.419963  	0.298262  	-7.379100 
-149.000000	1.380987  	0.320434  	-7.379100 
-148.000000	1.342010  	0.342605  	-7.379100 
-147.000000	1.303034  	0.364777  	-7.379100 
-146.000000	1.268695  	0.387935  	-7.379100 
-145.000000	1.236933  	0.411640  	-7.379100 
-144.000000	1.205172  	0.435345  	-7.379100 
-143.000000	1.173410  	0.459050  	-7.379100 
-142.000000	1.142888  	0.483040  	-7.379100 
-141.000000	1.115467  	0.507742  	-7.379100 
-140.000000	1.088046  	0.532444  	-7.379100 
-139.000000	1.060624  	0.557146  	-7.379100 
-138.000000	1.033203  	0.581848  	-7.379100 
-137.000000	1.008176  	0.606956  	-7.379100 
-136.000000	0.983333  	0.632097  	-7.379100 
-135.000000	0.958490  	0.657237  	-7.379100 
-134.000000	0.933647  	0.682377  	-7.379100 
-133.000000	0.909647  	0.707443  	-7.379100 
-132.000000	0.886280  	0.732453  	-7.379100 
-131.000000	0.862913  	0.757464  	-7.379100 
-130.000000	0.839546  	0.782474  	-7.379100 
-129.000000	0.816350  	0.807336  	-7.379100 
-128.000000	0.793779  	0.831654  	-7.379100 
-127.000000	0.771208  	0.855971  	-7.379100 
-126.000000	0.748638  	0.880288  	-7.379100 
-125.000000	0.726067  	0.904606  	-7.379100 
-124.000000	0.703843  	0.927860  	-7.379100 
-123.000000	0.681676  	0.950937  	-7.379100 
-122.000000	0.659510  	0.974015  	-7.379100 
-121.000000	0.637344  	0.997092  	-7.379100 
-120.000000	0.615287  	1.019290  	-7.379100 
-119.000000	0.593340  	1.040610  	-7.379100 
-118.000000	0.571392  	1.061930  	-7.379100 
-117.000000	0.549445  	1.083250  	-7.379100 
-116.000000	0.527525  	1.104250  	-7.379100 
-115.000000	0.505766  	1.123337  	-7.379100 
-114.000000	0.484008  	1.142423  	-7.379100 
-113.000000	0.462249  	1.161509  	-7.379100 
-112.000000	0.440490  	1.180595  	-7.379100 
-111.000000	0.418949  	1.197593  	-7.379100 
-110.000000	0.397467  	1.214022  	-7.379100 
-109.000000	0.375986  	1.230451  	-7.379100 
-108.000000	0.354504  	1.246879  	-7.379100 
-107.000000	0.333218  	1.262014  	-7.379100 
-106.000000	0.312194  	1.275423  	-7.379100 
-105.000000	0.291170  	1.288832  	-7.379100 
-104.000000	0.270146  	1.302241  	-7.379100 
-103.000000	0.249173  	1.315414  	-7.379100 
-102.000000	0.228860  	1.325511  	-7.379100 
-101.000000	0.208548  	1.335609  	-7.379100 
-100.000000	0.188236  	1.345706  	-7.379100 
-99.000000	0.167923  	1.355804  	-7.379100 
-98.000000	0.148340  	1.363382  	-7.379100 
-97.000000	0.129050  	1.369953  	-7.379100 
-96.000000	0.109759  	1.376524  	-7.379100 
-95.000000	0.090468  	1.383094  	-7.379100 
-94.000000	0.071668  	1.388358  	-7.379100 
-93.000000	0.053751  	1.391268  	-7.379100 
-92.000000	0.035834  	1.394179  	-7.379100 
-91.000000	0.017917  	1.397089  	-7.379100 
-90.000000	0.000000  	1.400000  	-7.379100 
-89.000000	-0.017917 	1.397089  	-7.379100 
-88.000000	-0.035834 	1.394179  	-7.379100 
-87.000000	-0.053751 	1.391268  	-7.379100 
-86.000000	-0.071668 	1.388358  	-7.379100 
-85.000000	-0.090468 	1.383094  	-7.379100 
-84.000000	-0.109759 	1.376524  	-7.379100 
-83.000000	-0.129050 	1.369953  	-7.379100 
-82.000000	-0.148340 	1.363382  	-7.379100 
-81.000000	-0.167923 	1.355804  	-7.379100 
-80.000000	-0.188236 	1.345706  	-7.379100 
-79.000000	-0.208548 	1.335609  	-7.379100 
-78.000000	-0.228860 	1.325511  	-7.379100 
-77.000000	-0.249173 	1.315414  	-7.379100 
-76.000000	-0.270146 	1.302241  	-7.379100 
-75.000000	-0.291170 	1.288832  	-7.379100 
-74.000000	-0.312194 	1.275423  	-7.379100 
-73.000000	-0.333218 	1.262014  	-7.379100 
-72.000000	-0.354504 	1.246879  	-7.379100 
-71.000000	-0.375986 	1.230451  	-7.379100 
-70.000000	-0.397467 	1.214022  	-7.379100 
-69.000000	-0.418949 	1.197593  	-7.379100 
-68.000000	-0.440490 	1.180595  	-7.379100 
-67.000000	-0.462249 	1.161509  	-7.379100 
-66.000000	-0.484008 	1.142423  	-7.379100 
-65.000000	-0.505766 	1.123337  	-7.379100 
-64.000000	-0.527525 	1.104250  	-7.379100 
-63.000000	-0.549445 	1.083250  	-7.379100 
-62.000000	-0.571392 	1.061930  	-7.379100 
-61.000000	-0.593340 	1.040610  	-7.379100 
-60.000000	-0.615287 	1.019290  	-7.379100 
-59.000000	-0.637344 	0.997092  	-7.379100 
-58.000000	-0.659510 	0.974015  	-7.379100 
-57.000000	-0.681676 	0.950937  	-7.379100 
-56.000000	-0.703843 	0.927860  	-7.379100 
-55.000000	-0.726067 	0.904606  	-7.379100 
-54.000000	-0.748638 	0.880288  	-7.379100 
-53.000000	-0.771208 	0.855971  	-7.379100 
-52.000000	-0.793779 	0.831654  	-7.379100 
-51.000000	-0.816350 	0.807336  	-7.379100 
-50.000000	-0.839546 	0.782474  	-7.379100 
-49.000000	-0.862913 	0.757464  	-7.379100 
-48.000000	-0.886280 	0.732453  	-7.379100 
-47.000000	-0.909647 	0.707443  	-7.379100 
-46.000000	-0.933647 	0.682377  	-7.379100 
-45.000000	-0.958490 	0.657237  	-7.379100 
-44.000000	-0.983333 	0.632097  	-7.379100 
-43.000000	-1.008176 	0.606956  	-7.379100 
-42.000000	-1.033203 	0.581848  	-7.379100 
-41.000000	-1.060624 	0.557146  	-7.379100 
-40.000000	-1.088046 	0.532444  	-7.379100 
-39.000000	-1.115467 	0.507742  	-7.379100 
-38.000000	-1.142888 	0.483040  	-7.379100 
-37.000000	-1.173410 	0.459050  	-7.379100 
-36.000000	-1.205172 	0.435345  	-7.379100 
-35.000000	-1.236933 	0.411640  	-7.379100 
-34.000000	-1.268695 	0.387935  	-7.379100 
-33.000000	-1.303034 	0.364777  	-7.379100 
-32.000000	-1.342010 	0.342605  	-7.379100 
-31.000000	-1.380987 	0.320434  	-7.379100 
-30.000000	-1.419963 	0.298262  	-7.379100 
-29.000000	-1.458940 	0.276090  	-7.379100 
-28.000000	-1.411938 	0.265557  	-7.379100 
-27.000000	-1.364936 	0.255023  	-7.379100 
-26.000000	-1.317934 	0.244490  	-7.379100 
-25.000000	-1.270932 	0.233957  	-7.379100 
-24.000000	-1.223930 	0.223423  	-7.379100 
-23.000000	-1.176929 	0.212890  	-7.379100 
-22.000000	-1.129927 	0.202357  	-7.379100 
-21.000000	-1.082925 	0.191823  	-7.379100 
-20.000000	-1.035923 	0.181290  	-7.379100 
-19.000000	-0.988921 	0.170757  	-7.379100 
-18.000000	-0.941919 	0.160223  	-7.379100 
-17.000000	-0.894917 	0.149690  	-7.379100 
-16.000000	-0.847915 	0.139157  	-7.379100 
-15.000000	-0.800913 	0.128623  	-7.379100 
-14.000000	-0.753911 	0.118090  	-7.379100 
-13.000000	-0.706910 	0.107557  	-7.379100 
-12.000000	-0.659908 	0.097023  	-7.379100 
-11.000000	-0.612906 	0.086490  	-7.379100 
-10.000000	-0.565904 	0.075957  	-5.461233 
-9.000000 	-0.518902 	0.065423  	-3.543367 
-8.000000 	-0.471900 	0.054890  	-1.625500 
-7.000000 	-0.343300 	0.061040  	-1.442400 
-6.000000 	-0.225900 	0.055440  	-1.360200 
-5.000000 	-0.002000 	0.040050  	-1.300400 
-4.000000 	0.124000  	0.040270  	-1.187000 
-3.000000 	0.278100  	0.038890  	-1.076700 
-2.000000 	0.412000  	0.038980  	-1.145600 
-1.000000 	0.550200  	0.038840  	-1.256600 
0.000000  	0.694300  	0.038760  	-1.377000 
